# layer center[mm] area[cm2] mipsig sipm_noise S/N power[mW] fluence dose[kRad] inner outer
 0   1248  4.75  37.3   9.9  3.75 16.41 6.80e+13 191.2 1259 1238
 0   1270  4.92  37.7   9.6  3.94 15.22 6.31e+13 177.7 1281 1259
 0   1293  5.09  38.1   9.2  4.13 14.11 5.85e+13 165.2 1304 1281
 0   1316  5.27  38.5   8.9  4.34 13.07 5.42e+13 153.7 1327 1304
 0   1339  5.46  38.9   8.5  4.55 12.10 5.01e+13 143.0 1350 1327
 0   1362  5.65  39.2   8.2  4.78 11.19 4.63e+13 133.2 1374 1350
 0   1386  5.86  39.5   7.9  5.01 10.34 4.28e+13 124.1 1398 1374
 0   1411  6.06  39.8   7.6  5.25  9.54 3.95e+13 115.7 1423 1398
 0   1436  6.28  20.0   5.1  3.89  4.40 3.65e+13 108.0 1448 1423
 0   1461  6.50  20.1   4.9  4.07  4.06 3.36e+13 100.9 1474 1448
 0   1487  6.73  20.2   4.7  4.26  3.73 3.09e+13  94.3 1499 1474
 0   1513  6.97  20.3   4.6  4.46  3.44 2.85e+13  88.3 1526 1499
 0   1539  7.22  20.3   4.4  4.66  3.16 2.62e+13  82.8 1553 1526
 0   1566  7.48  20.4   4.2  4.87  2.90 2.41e+13  77.7 1580 1553
 0   1594  7.74  20.4   4.0  5.09  2.66 2.21e+13  73.0 1608 1580
 0   1622  8.02  20.4   3.8  5.31  2.44 2.03e+13  68.7 1636 1608
 0   1651  8.30  20.4   3.7  5.54  2.24 1.86e+13  64.8 1665 1636
 0   1680  8.60  20.3   3.5  5.78  2.05 1.70e+13  61.2 1694 1665
 0   1709  8.90  20.3   3.4  6.03  1.88 1.56e+13  57.9 1724 1694
 0   1739  9.22  20.2   3.2  6.28  1.72 1.42e+13  54.9 1755 1724
 0   1770  9.55  20.1   3.1  6.54  1.57 1.30e+13  52.2 1785 1755
 0   1801  9.88  20.0   2.9  6.81  1.43 1.19e+13  49.7 1817 1785
 0   1833 10.24  19.9   2.8  7.09  1.31 1.08e+13  47.4 1849 1817
 0   1865 10.60  19.8   2.7  7.37  1.19 9.89e+12  45.4 1881 1849
 0   1898 10.98  19.6   2.6  7.66  1.09 9.02e+12  43.6 1915 1881
 0   1931 11.37  19.4   2.4  7.96  0.99 8.21e+12  42.0 1948 1915
 0   1965 11.77  19.3   2.3  8.26  0.90 7.48e+12  40.6 1983 1948
 0   2000 12.19  19.1   2.2  8.57  0.82 6.81e+12  39.3 2017 1983
 0   2035 12.62  18.9   2.1  8.89  0.75 6.19e+12  38.3 2053 2017
 0   2071 13.07  18.6   2.0  9.21  0.68 5.63e+12  37.4 2089 2053
 1   1134  6.12  30.6  10.0  3.07 16.44 6.81e+13 228.2 1147 1122
 1   1159  6.40  31.1   9.5  3.26 15.05 6.24e+13 207.7 1172 1147
 1   1185  6.68  31.6   9.1  3.47 13.76 5.70e+13 189.1 1198 1172
 1   1211  6.98  32.1   8.7  3.68 12.58 5.21e+13 172.0 1224 1198
