# layer center[mm] area[cm2] mipsig sipm_noise S/N power[mW] fluence dose[kRad] inner outer
 6   1185  6.68  25.0   3.1  7.97  1.63 1.35e+13  44.5 1198 1172
 6   1211  6.98  25.1   3.0  8.44  1.47 1.22e+13  39.8 1224 1198
 6   1238  7.29  25.2   2.8  8.92  1.32 1.10e+13  35.7 1251 1224
 6   1265  7.62  25.2   2.7  9.41  1.19 9.87e+12  32.1 1279 1251
 6   1293  7.96  25.2   2.5  9.92  1.07 8.88e+12  28.9 1307 1279
 6   1321  8.31  25.2   2.4 10.44  0.96 7.99e+12  26.0 1336 1307
 6   1350  8.68  25.1   2.3 10.97  0.87 7.20e+12  23.5 1365 1336
 6   1380  9.07  25.0   2.2 11.51  0.78 6.48e+12  21.2 1395 1365
 6   1411  9.47  24.9   2.1 12.06  0.71 5.85e+12  19.2 1426 1395
 6   1442  9.90  24.7   2.0 12.61  0.64 5.28e+12  17.5 1457 1426
 6   1474 10.34  24.5   1.9 13.17  0.58 4.77e+12  15.9 1490 1457
 6   1506 10.80  24.3   1.8 13.74  0.52 4.31e+12  14.5 1523 1490
 6   1539 11.28  24.1   1.7 14.30  0.47 3.90e+12  13.3 1556 1523
 6   1573 11.78  23.8   1.6 14.86  0.43 3.54e+12  12.3 1590 1556
 6   1608 12.31  23.6   1.5 15.41  0.39 3.21e+12  11.4 1625 1590
 6   1643 12.86  23.3   1.5 15.96  0.35 2.93e+12  10.5 1661 1625
 6   1680 13.43  23.0   1.4 16.49  0.32 2.67e+12   9.8 1698 1661
 6   1717 14.03  22.6   1.3 17.00  0.29 2.44e+12   9.2 1735 1698
 6   1755 14.66  22.3   1.3 17.49  0.27 2.24e+12   8.7 1774 1735
 6   1793 15.31  22.0   1.2 17.96  0.25 2.06e+12   8.2 1813 1774
 6   1833 15.99  21.6   1.2 18.39  0.23 1.90e+12   7.9 1853 1813
 6   1873 16.71  21.2   1.1 18.78  0.21 1.76e+12   7.6 1894 1853
 6   1915 17.45  20.8   1.1 19.13  0.20 1.63e+12   7.3 1935 1894
 6   1957 18.23  20.4   1.1 19.43  0.18 1.52e+12   7.2 1978 1935
 6   2000 19.04  20.0   1.0 19.67  0.17 1.42e+12   7.1 2022 1978
 6   2044 19.89  19.6   1.0 19.85  0.16 1.34e+12   7.0 2066 2022
 6   2089 20.78  19.2   1.0 19.95  0.15 1.27e+12   7.0 2112 2066
 6   2135 21.71  18.7   0.9 19.98  0.15 1.21e+12   7.1 2159 2112
 6   2182 22.68  18.3   0.9 19.93  0.14 1.16e+12   7.3 2206 2159
 6   2231 23.69  17.8   0.9 19.79  0.13 1.11e+12   7.6 2255 2206
 6   2280 24.74  17.3   0.9 19.55  0.13 1.08e+12   8.0 2305 2255
 6   2330 25.85  16.8   0.9 19.21  0.13 1.06e+12   8.5 2355 2305
 6   2381 27.00  16.3   0.9 18.76  0.13 1.04e+12   9.2 2407 2355
 6   2434 28.21  15.8   0.9 18.21  0.12 1.04e+12  10.1 2460 2407
 6   2488 29.46  15.3   0.9 17.55  0.13 1.04e+12  11.3 2515 2460
 6   2543 30.78  14.7   0.9 16.78  0.13 1.05e+12  12.8 2570 2515
 6   2599 32.15  14.1   0.9 15.90  0.13 1.08e+12  14.7 2627 2570
 7    912  3.96  22.9   5.3  4.33  4.67 3.87e+13 141.1  922  902
 7    932  4.14  23.4   5.0  4.65  4.20 3.48e+13 125.6  942  922
 7    952  4.32  23.9   4.8  4.99  3.78 3.14e+13 111.8  963  942
 7    973  4.51  24.3   4.5  5.36  3.40 2.82e+13  99.4  984  963
 7    995  4.71  24.7   4.3  5.74  3.06 2.54e+13  88.4 1006  984
 7   1017  4.92  25.0   4.1  6.15  2.75 2.28e+13  78.6 1028 1006
 7   1039  5.14  25.3   3.9  6.57  2.47 2.04e+13  69.8 1051 1028
 7   1062  5.37  25.6   3.7  7.02  2.21 1.83e+13  62.1 1074 1051
 7   1086  5.61  25.9   3.5  7.48  1.98 1.64e+13  55.2 1098 1074
 7   1110  5.86  26.1   3.3  7.97  1.78 1.47e+13  49.1 1122 1098
 7   1134  6.12  26.3   3.1  8.47  1.59 1.32e+13  43.6 1147 1122
 7   1159  6.40  26.4   2.9  9.00  1.43 1.18e+13  38.8 1172 1147
 7   1185  6.68  26.5   2.8  9.55  1.28 1.06e+13  34.6 1198 1172
 7   1211  6.98  26.6   2.6 10.11  1.14 9.48e+12  30.8 1224 1198
 7   1238  7.29  26.6   2.5 10.70  1.02 8.49e+12  27.5 1251 1224
 7   1265  7.62  26.6   2.4 11.30  0.92 7.60e+12  24.6 1279 1251
 7   1293  7.96  26.5   2.2 11.92  0.82 6.81e+12  22.0 1307 1279
 7   1321  8.31  26.4   2.1 12.55  0.74 6.10e+12  19.7 1336 1307
 7   1350  8.68  26.3   2.0 13.20  0.66 5.47e+12  17.7 1365 1336
 7   1380  9.07  26.2   1.9 13.86  0.59 4.91e+12  15.9 1395 1365
 7   1411  9.47  26.0   1.8 14.53  0.53 4.41e+12  14.3 1426 1395
 7   1442  9.90  25.8   1.7 15.21  0.48 3.96e+12  12.9 1457 1426
 7   1474 10.34  25.6   1.6 15.90  0.43 3.57e+12  11.7 1490 1457
 7   1506 10.80  25.4   1.5 16.59  0.39 3.21e+12  10.7 1523 1490
 7   1539 11.28  25.1   1.5 17.29  0.35 2.90e+12   9.7 1556 1523
 7   1573 11.78  24.8   1.4 17.98  0.32 2.62e+12   8.9 1590 1556
 7   1608 12.31  24.5   1.3 18.66  0.29 2.37e+12   8.2 1625 1590
 7   1643 12.86  24.2   1.3 19.33  0.26 2.16e+12   7.5 1661 1625
 7   1680 13.43  23.9   1.2 19.99  0.24 1.96e+12   7.0 1698 1661
 7   1717 14.03  23.5   1.1 20.62  0.22 1.79e+12   6.5 1735 1698
 7   1755 14.66  23.2   1.1 21.23  0.20 1.64e+12   6.1 1774 1735
 7   1793 15.31  22.8   1.0 21.80  0.18 1.50e+12   5.8 1813 1774
 7   1833 15.99  22.4   1.0 22.33  0.17 1.38e+12   5.5 1853 1813
 7   1873 16.71  22.0   1.0 22.81  0.15 1.28e+12   5.2 1894 1853
 7   1915 17.45  21.6   0.9 23.24  0.14 1.19e+12   5.0 1935 1894
 7   1957 18.23  21.2   0.9 23.61  0.13 1.11e+12   4.9 1978 1935
 7   2000 19.04  20.8   0.9 23.90  0.13 1.04e+12   4.8 2022 1978
 7   2044 19.89  20.4   0.8 24.12  0.12 9.79e+11   4.7 2066 2022
 7   2089 20.78  19.9   0.8 24.24  0.11 9.28e+11   4.7 2112 2066
 7   2135 21.71  19.5   0.8 24.27  0.11 8.85e+11   4.7 2159 2112
 7   2182 22.68  19.0   0.8 24.20  0.10 8.50e+11   4.8 2206 2159
 7   2231 23.69  18.6   0.8 24.02  0.10 8.22e+11   5.0 2255 2206
 7   2280 24.74  18.1   0.8 23.72  0.10 8.00e+11   5.2 2305 2255
 7   2330 25.85  17.6   0.8 23.29  0.09 7.86e+11   5.5 2355 2305
 7   2381 27.00  17.1   0.8 22.74  0.09 7.79e+11   5.9 2407 2355
 7   2434 28.21  16.6   0.8 22.07  0.09 7.79e+11   6.4 2460 2407
 7   2488 29.46  16.1   0.8 21.26  0.09 7.87e+11   7.1 2515 2460
 7   2543 30.78  15.5   0.8 20.32  0.10 8.03e+11   8.0 2570 2515
 7   2599 32.15  15.0   0.8 19.26  0.10 8.30e+11   9.2 2627 2570
 8    912  3.96  24.6   4.9  4.99  4.04 3.35e+13 115.8  922  902
 8    932  4.14  25.1   4.7  5.36  3.63 3.00e+13 102.7  942  922
 8    952  4.32  25.5   4.4  5.76  3.25 2.69e+13  91.0  963  942
 8    973  4.51  25.9   4.2  6.19  2.91 2.41e+13  80.7  984  963
 8    995  4.71  26.3   4.0  6.63  2.61 2.16e+13  71.4 1006  984
 8   1017  4.92  26.6   3.8  7.10  2.33 1.93e+13  63.3 1028 1006
 8   1039  5.14  26.9   3.5  7.59  2.09 1.73e+13  56.0 1051 1028
 8   1062  5.37  27.2   3.4  8.10  1.87 1.55e+13  49.6 1074 1051
 8   1086  5.61  27.4   3.2  8.64  1.67 1.38e+13  43.9 1098 1074
 8   1110  5.86  27.6   3.0  9.20  1.49 1.23e+13  38.9 1122 1098
 8   1134  6.12  27.7   2.8  9.79  1.33 1.10e+13  34.4 1147 1122
 8   1159  6.40  27.8   2.7 10.40  1.19 9.82e+12  30.5 1172 1147
 8   1185  6.68  27.9   2.5 11.03  1.06 8.76e+12  27.1 1198 1172
 8   1211  6.98  27.9   2.4 11.69  0.94 7.82e+12  24.0 1224 1198
 8   1238  7.29  27.8   2.3 12.36  0.84 6.98e+12  21.3 1251 1224
 8   1265  7.62  27.8   2.1 13.06  0.75 6.23e+12  19.0 1279 1251
 8   1293  7.96  27.7   2.0 13.78  0.67 5.56e+12  16.9 1307 1279
 8   1321  8.31  27.6   1.9 14.52  0.60 4.96e+12  15.1 1336 1307
 8   1350  8.68  27.4   1.8 15.27  0.54 4.43e+12  13.5 1365 1336
 8   1380  9.07  27.2   1.7 16.04  0.48 3.96e+12  12.1 1395 1365
 8   1411  9.47  27.0   1.6 16.83  0.43 3.55e+12  10.8 1426 1395
 8   1442  9.90  26.8   1.5 17.63  0.38 3.18e+12   9.7 1457 1426
 8   1474 10.34  26.5   1.4 18.43  0.34 2.85e+12   8.8 1490 1457
 8   1506 10.80  26.3   1.4 19.24  0.31 2.56e+12   7.9 1523 1490
 8   1539 11.28  26.0   1.3 20.06  0.28 2.30e+12   7.2 1556 1523
 8   1573 11.78  25.6   1.2 20.87  0.25 2.08e+12   6.6 1590 1556
 8   1608 12.31  25.3   1.2 21.67  0.23 1.88e+12   6.0 1625 1590
 8   1643 12.86  25.0   1.1 22.46  0.20 1.70e+12   5.5 1661 1625
 8   1680 13.43  24.6   1.1 23.24  0.19 1.54e+12   5.1 1698 1661
 8   1717 14.03  24.2   1.0 23.99  0.17 1.40e+12   4.7 1735 1698
 8   1755 14.66  23.8   1.0 24.71  0.15 1.28e+12   4.4 1774 1735
 8   1793 15.31  23.5   0.9 25.39  0.14 1.17e+12   4.1 1813 1774
 8   1833 15.99  23.0   0.9 26.03  0.13 1.08e+12   3.9 1853 1813
 8   1873 16.71  22.6   0.9 26.61  0.12 9.95e+11   3.7 1894 1853
 8   1915 17.45  22.2   0.8 27.12  0.11 9.23e+11   3.6 1935 1894
 8   1957 18.23  21.8   0.8 27.56  0.10 8.60e+11   3.4 1978 1935
 8   2000 19.04  21.4   0.8 27.92  0.10 8.05e+11   3.4 2022 1978
 8   2044 19.89  20.9   0.7 28.19  0.09 7.58e+11   3.3 2066 2022
 8   2089 20.78  20.5   0.7 28.35  0.09 7.18e+11   3.3 2112 2066
 8   2135 21.71  20.0   0.7 28.40  0.08 6.85e+11   3.3 2159 2112
 8   2182 22.68  19.6   0.7 28.32  0.08 6.58e+11   3.3 2206 2159
 8   2231 23.69  19.1   0.7 28.12  0.08 6.36e+11   3.4 2255 2206
 8   2280 24.74  18.7   0.7 27.78  0.07 6.20e+11   3.6 2305 2255
 8   2330 25.85  18.2   0.7 27.30  0.07 6.10e+11   3.8 2355 2305
 8   2381 27.00  17.7   0.7 26.67  0.07 6.05e+11   4.0 2407 2355
 8   2434 28.21  17.2   0.7 25.89  0.07 6.07e+11   4.4 2460 2407
 8   2488 29.46  16.7   0.7 24.96  0.07 6.14e+11   4.8 2515 2460
 8   2543 30.78  16.2   0.7 23.89  0.08 6.29e+11   5.4 2570 2515
 8   2599 32.15  15.6   0.7 22.67  0.08 6.52e+11   6.2 2627 2570
 9    912  3.96  26.1   4.6  5.63  3.56 2.95e+13  97.6  922  902
 9    932  4.14  26.6   4.4  6.07  3.18 2.63e+13  85.9  942  922
 9    952  4.32  27.0   4.1  6.53  2.84 2.35e+13  75.5  963  942
 9    973  4.51  27.4   3.9  7.02  2.53 2.10e+13  66.4  984  963
 9    995  4.71  27.8   3.7  7.54  2.26 1.87e+13  58.3 1006  984
 9   1017  4.92  28.2   3.5  8.08  2.01 1.67e+13  51.2 1028 1006
 9   1039  5.14  28.4   3.3  8.65  1.79 1.48e+13  45.0 1051 1028
 9   1062  5.37  28.7   3.1  9.25  1.59 1.32e+13  39.5 1074 1051
 9   1086  5.61  28.9   2.9  9.88  1.42 1.17e+13  34.7 1098 1074
 9   1110  5.86  29.0   2.8 10.54  1.26 1.04e+13  30.5 1122 1098
 9   1134  6.12  29.1   2.6 11.22  1.12 9.27e+12  26.9 1147 1122
 9   1159  6.40  29.2   2.4 11.93  0.99 8.23e+12  23.6 1172 1147
 9   1185  6.68  29.2   2.3 12.67  0.88 7.31e+12  20.8 1198 1172
 9   1211  6.98  29.2   2.2 13.44  0.78 6.49e+12  18.3 1224 1198
 9   1238  7.29  29.1   2.0 14.24  0.69 5.76e+12  16.2 1251 1224
 9   1265  7.62  29.0   1.9 15.06  0.62 5.11e+12  14.3 1279 1251
 9   1293  7.96  28.9   1.8 15.91  0.55 4.54e+12  12.7 1307 1279
 9   1321  8.31  28.7   1.7 16.78  0.49 4.03e+12  11.2 1336 1307
 9   1350  8.68  28.5   1.6 17.68  0.43 3.58e+12  10.0 1365 1336
 9   1380  9.07  28.3   1.5 18.60  0.38 3.18e+12   8.9 1395 1365
 9   1411  9.47  28.0   1.4 19.54  0.34 2.83e+12   7.9 1426 1395
 9   1442  9.90  27.8   1.4 20.50  0.30 2.52e+12   7.1 1457 1426
 9   1474 10.34  27.5   1.3 21.48  0.27 2.25e+12   6.4 1490 1457
 9   1506 10.80  27.1   1.2 22.47  0.24 2.00e+12   5.8 1523 1490
 9   1539 11.28  26.8   1.1 23.47  0.22 1.79e+12   5.2 1556 1523
 9   1573 11.78  26.4   1.1 24.47  0.19 1.60e+12   4.7 1590 1556
 9   1608 12.31  26.1   1.0 25.47  0.17 1.44e+12   4.3 1625 1590
 9   1643 12.86  25.7   1.0 26.47  0.16 1.29e+12   4.0 1661 1625
 9   1680 13.43  25.3   0.9 27.45  0.14 1.17e+12   3.7 1698 1661
 9   1717 14.03  24.9   0.9 28.41  0.13 1.05e+12   3.4 1735 1698
 9   1755 14.66  24.5   0.8 29.34  0.12 9.55e+11   3.2 1774 1735
 9   1793 15.31  24.0   0.8 30.24  0.10 8.68e+11   3.0 1813 1774
 9   1833 15.99  23.6   0.8 31.09  0.10 7.92e+11   2.8 1853 1813
 9   1873 16.71  23.2   0.7 31.88  0.09 7.25e+11   2.7 1894 1853
 9   1915 17.45  22.7   0.7 32.61  0.08 6.67e+11   2.6 1935 1894
 9   1957 18.23  22.3   0.7 33.25  0.07 6.16e+11   2.5 1978 1935
 9   2000 19.04  21.8   0.6 33.80  0.07 5.72e+11   2.5 2022 1978
 9   2044 19.89  21.4   0.6 34.25  0.06 5.34e+11   2.4 2066 2022
 9   2089 20.78  20.9   0.6 34.57  0.06 5.02e+11   2.5 2112 2066
 9   2135 21.71  20.4   0.6 34.76  0.06 4.74e+11   2.5 2159 2112
 9   2182 22.68  19.9   0.6 34.81  0.05 4.51e+11   2.6 2206 2159
 9   2231 23.69  19.5   0.6 34.71  0.05 4.33e+11   2.7 2255 2206
 9   2280 24.74  19.0   0.6 34.43  0.05 4.18e+11   2.8 2305 2255
 9   2330 25.85  18.5   0.5 33.97  0.05 4.07e+11   3.0 2355 2305
 9   2381 27.00  18.0   0.5 33.33  0.05 4.00e+11   3.3 2407 2355
 9   2434 28.21  17.5   0.5 32.49  0.05 3.97e+11   3.6 2460 2407
 9   2488 29.46  16.9   0.5 31.46  0.05 3.98e+11   4.1 2515 2460
 9   2543 30.78  16.4   0.5 30.22  0.05 4.03e+11   4.7 2570 2515
 9   2599 32.15  15.8   0.5 28.79  0.05 4.13e+11   5.5 2627 2570
10    912  3.96  27.0   4.4  6.16  3.17 2.63e+13  87.8  922  902
10    932  4.14  27.5   4.1  6.65  2.83 2.34e+13  77.1  942  922
10    952  4.32  27.9   3.9  7.16  2.52 2.09e+13  67.6  963  942
10    973  4.51  28.3   3.7  7.70  2.24 1.86e+13  59.3  984  963
10    995  4.71  28.7   3.5  8.27  1.99 1.65e+13  51.9 1006  984
10   1017  4.92  29.0   3.3  8.87  1.77 1.47e+13  45.5 1028 1006
10   1039  5.14  29.3   3.1  9.50  1.57 1.30e+13  39.9 1051 1028
10   1062  5.37  29.5   2.9 10.17  1.40 1.16e+13  35.0 1074 1051
10   1086  5.61  29.7   2.7 10.86  1.24 1.03e+13  30.6 1098 1074
10   1110  5.86  29.8   2.6 11.59  1.10 9.08e+12  26.9 1122 1098
10   1134  6.12  29.9   2.4 12.34  0.97 8.05e+12  23.6 1147 1122
10   1159  6.40  29.9   2.3 13.13  0.86 7.12e+12  20.7 1172 1147
10   1185  6.68  29.9   2.1 13.95  0.76 6.31e+12  18.2 1198 1172
10   1211  6.98  29.8   2.0 14.81  0.67 5.58e+12  16.0 1224 1198
10   1238  7.29  29.7   1.9 15.69  0.60 4.94e+12  14.1 1251 1224
10   1265  7.62  29.6   1.8 16.61  0.53 4.37e+12  12.4 1279 1251
10   1293  7.96  29.5   1.7 17.55  0.47 3.87e+12  10.9 1307 1279
10   1321  8.31  29.3   1.6 18.53  0.41 3.43e+12   9.7 1336 1307
10   1350  8.68  29.0   1.5 19.53  0.37 3.04e+12   8.6 1365 1336
10   1380  9.07  28.8   1.4 20.57  0.33 2.69e+12   7.6 1395 1365
10   1411  9.47  28.5   1.3 21.62  0.29 2.39e+12   6.8 1426 1395
10   1442  9.90  28.2   1.2 22.70  0.26 2.12e+12   6.1 1457 1426
10   1474 10.34  27.9   1.2 23.80  0.23 1.89e+12   5.4 1490 1457
10   1506 10.80  27.5   1.1 24.91  0.20 1.68e+12   4.9 1523 1490
10   1539 11.28  27.2   1.0 26.04  0.18 1.50e+12   4.4 1556 1523
10   1573 11.78  26.8   1.0 27.17  0.16 1.34e+12   4.0 1590 1556
10   1608 12.31  26.4   0.9 28.30  0.14 1.20e+12   3.6 1625 1590
10   1643 12.86  26.0   0.9 29.43  0.13 1.07e+12   3.3 1661 1625
10   1680 13.43  25.6   0.8 30.54  0.12 9.66e+11   3.1 1698 1661
10   1717 14.03  25.2   0.8 31.63  0.11 8.71e+11   2.8 1735 1698
10   1755 14.66  24.8   0.8 32.70  0.10 7.88e+11   2.6 1774 1735
10   1793 15.31  24.3   0.7 33.72  0.09 7.15e+11   2.5 1813 1774
10   1833 15.99  23.9   0.7 34.69  0.08 6.52e+11   2.3 1853 1813
10   1873 16.71  23.4   0.7 35.59  0.07 5.96e+11   2.2 1894 1853
10   1915 17.45  23.0   0.6 36.42  0.07 5.47e+11   2.1 1935 1894
10   1957 18.23  22.5   0.6 37.16  0.06 5.05e+11   2.1 1978 1935
10   2000 19.04  22.1   0.6 37.80  0.06 4.69e+11   2.0 2022 1978
10   2044 19.89  21.6   0.6 38.31  0.05 4.37e+11   2.0 2066 2022
10   2089 20.78  21.1   0.5 38.69  0.05 4.10e+11   2.0 2112 2066
10   2135 21.71  20.7   0.5 38.92  0.05 3.88e+11   2.0 2159 2112
10   2182 22.68  20.2   0.5 38.99  0.04 3.69e+11   2.1 2206 2159
10   2231 23.69  19.7   0.5 38.88  0.04 3.53e+11   2.2 2255 2206
10   2280 24.74  19.2   0.5 38.58  0.04 3.41e+11   2.3 2305 2255
10   2330 25.85  18.7   0.5 38.08  0.04 3.33e+11   2.5 2355 2305
10   2381 27.00  18.2   0.5 37.37  0.04 3.27e+11   2.7 2407 2355
10   2434 28.21  17.7   0.5 36.44  0.04 3.25e+11   3.0 2460 2407
10   2488 29.46  17.2   0.5 35.28  0.04 3.26e+11   3.3 2515 2460
10   2543 30.78  16.6   0.5 33.90  0.04 3.31e+11   3.8 2570 2515
10   2599 32.15  16.1   0.5 32.31  0.04 3.40e+11   4.5 2627 2570
11    912  3.96  27.8   4.2  6.63  2.92 2.42e+13  79.5  922  902
11    932  4.14  28.3   4.0  7.14  2.61 2.16e+13  69.5  942  922
11    952  4.32  28.7   3.7  7.68  2.32 1.92e+13  60.8  963  942
11    973  4.51  29.1   3.5  8.25  2.07 1.71e+13  53.1  984  963
11    995  4.71  29.5   3.3  8.86  1.84 1.52e+13  46.4 1006  984
11   1017  4.92  29.8   3.1  9.49  1.64 1.36e+13  40.5 1028 1006
11   1039  5.14  30.1   3.0 10.16  1.45 1.20e+13  35.4 1051 1028
11   1062  5.37  30.3   2.8 10.85  1.29 1.07e+13  30.9 1074 1051
11   1086  5.61  30.4   2.6 11.58  1.14 9.49e+12  27.0 1098 1074
11   1110  5.86  30.5   2.5 12.34  1.02 8.41e+12  23.6 1122 1098
11   1134  6.12  30.6   2.3 13.13  0.90 7.46e+12  20.6 1147 1122
11   1159  6.40  30.6   2.2 13.95  0.80 6.61e+12  18.0 1172 1147
11   1185  6.68  30.5   2.1 14.80  0.71 5.85e+12  15.8 1198 1172
11   1211  6.98  30.5   1.9 15.69  0.63 5.18e+12  13.8 1224 1198
11   1238  7.29  30.4   1.8 16.61  0.55 4.59e+12  12.1 1251 1224
11   1265  7.62  30.2   1.7 17.56  0.49 4.07e+12  10.7 1279 1251
11   1293  7.96  30.0   1.6 18.54  0.43 3.60e+12   9.4 1307 1279
11   1321  8.31  29.8   1.5 19.55  0.39 3.20e+12   8.3 1336 1307
11   1350  8.68  29.5   1.4 20.58  0.34 2.83e+12   7.3 1365 1336
11   1380  9.07  29.3   1.4 21.64  0.30 2.51e+12   6.5 1395 1365
11   1411  9.47  29.0   1.3 22.73  0.27 2.23e+12   5.8 1426 1395
11   1442  9.90  28.6   1.2 23.84  0.24 1.98e+12   5.1 1457 1426
11   1474 10.34  28.3   1.1 24.96  0.21 1.77e+12   4.6 1490 1457
11   1506 10.80  27.9   1.1 26.11  0.19 1.57e+12   4.1 1523 1490
11   1539 11.28  27.6   1.0 27.26  0.17 1.40e+12   3.7 1556 1523
11   1573 11.78  27.2   1.0 28.41  0.15 1.26e+12   3.4 1590 1556
11   1608 12.31  26.7   0.9 29.57  0.14 1.13e+12   3.1 1625 1590
11   1643 12.86  26.3   0.9 30.72  0.12 1.01e+12   2.8 1661 1625
11   1680 13.43  25.9   0.8 31.85  0.11 9.10e+11   2.6 1698 1661
11   1717 14.03  25.5   0.8 32.96  0.10 8.21e+11   2.4 1735 1698
11   1755 14.66  25.0   0.7 34.04  0.09 7.43e+11   2.2 1774 1735
11   1793 15.31  24.6   0.7 35.07  0.08 6.75e+11   2.1 1813 1774
11   1833 15.99  24.1   0.7 36.05  0.07 6.16e+11   2.0 1853 1813
11   1873 16.71  23.7   0.6 36.96  0.07 5.64e+11   1.9 1894 1853
11   1915 17.45  23.2   0.6 37.79  0.06 5.18e+11   1.8 1935 1894
11   1957 18.23  22.7   0.6 38.53  0.06 4.79e+11   1.7 1978 1935
11   2000 19.04  22.3   0.6 39.15  0.05 4.45e+11   1.7 2022 1978
11   2044 19.89  21.8   0.5 39.66  0.05 4.16e+11   1.7 2066 2022
11   2089 20.78  21.3   0.5 40.02  0.05 3.90e+11   1.7 2112 2066
11   2135 21.71  20.9   0.5 40.24  0.04 3.69e+11   1.7 2159 2112
11   2182 22.68  20.4   0.5 40.28  0.04 3.52e+11   1.8 2206 2159
11   2231 23.69  19.9   0.5 40.14  0.04 3.37e+11   1.9 2255 2206
11   2280 24.74  19.4   0.5 39.80  0.04 3.26e+11   2.0 2305 2255
11   2330 25.85  18.9   0.5 39.26  0.04 3.18e+11   2.1 2355 2305
11   2381 27.00  18.4   0.5 38.50  0.04 3.14e+11   2.3 2407 2355
11   2434 28.21  17.9   0.5 37.52  0.04 3.12e+11   2.6 2460 2407
11   2488 29.46  17.3   0.5 36.31  0.04 3.14e+11   2.9 2515 2460
11   2543 30.78  16.8   0.5 34.87  0.04 3.19e+11   3.4 2570 2515
11   2599 32.15  16.2   0.5 33.20  0.04 3.28e+11   4.0 2627 2570
12    952  4.32  29.2   3.6  8.15  2.12 1.76e+13  57.6  963  942
12    973  4.51  29.5   3.4  8.71  1.91 1.58e+13  50.5  984  963
12    995  4.71  29.8   3.2  9.29  1.71 1.42e+13  44.2 1006  984
12   1017  4.92  30.1   3.0  9.89  1.54 1.27e+13  38.7 1028 1006
12   1039  5.14  30.3   2.9 10.52  1.38 1.14e+13  33.9 1051 1028
12   1062  5.37  30.5   2.7 11.17  1.24 1.02e+13  29.7 1074 1051
12   1086  5.61  30.6   2.6 11.85  1.11 9.18e+12  26.0 1098 1074
12   1110  5.86  30.7   2.4 12.55  0.99 8.22e+12  22.8 1122 1098
12   1134  6.12  30.7   2.3 13.27  0.89 7.36e+12  20.0 1147 1122
12   1159  6.40  30.7   2.2 14.02  0.80 6.59e+12  17.6 1172 1147
12   1185  6.68  30.6   2.1 14.79  0.71 5.90e+12  15.4 1198 1172
12   1211  6.98  30.5   2.0 15.58  0.64 5.29e+12  13.6 1224 1198
12   1238  7.29  30.4   1.9 16.39  0.57 4.73e+12  12.0 1251 1224
12   1265  7.62  30.2   1.8 17.22  0.51 4.24e+12  10.5 1279 1251
12   1293  7.96  30.0   1.7 18.07  0.46 3.80e+12   9.3 1307 1279
12   1321  8.31  29.8   1.6 18.94  0.41 3.41e+12   8.3 1336 1307
12   1350  8.68  29.5   1.5 19.82  0.37 3.06e+12   7.3 1365 1336
12   1380  9.07  29.3   1.4 20.71  0.33 2.74e+12   6.5 1395 1365
12   1411  9.47  28.9   1.3 21.62  0.30 2.46e+12   5.8 1426 1395
12   1442  9.90  28.6   1.3 22.53  0.27 2.22e+12   5.2 1457 1426
12   1474 10.34  28.3   1.2 23.44  0.24 2.00e+12   4.7 1490 1457
12   1506 10.80  27.9   1.1 24.35  0.22 1.80e+12   4.2 1523 1490
12   1539 11.28  27.5   1.1 25.26  0.20 1.63e+12   3.8 1556 1523
12   1573 11.78  27.1   1.0 26.16  0.18 1.47e+12   3.5 1590 1556
12   1608 12.31  26.7   1.0 27.05  0.16 1.34e+12   3.2 1625 1590
12   1643 12.86  26.3   0.9 27.91  0.15 1.22e+12   2.9 1661 1625
12   1680 13.43  25.8   0.9 28.75  0.13 1.11e+12   2.7 1698 1661
12   1717 14.03  25.4   0.9 29.54  0.12 1.02e+12   2.5 1735 1698
12   1755 14.66  24.9   0.8 30.30  0.11 9.32e+11   2.3 1774 1735
12   1793 15.31  24.5   0.8 31.00  0.10 8.58e+11   2.2 1813 1774
12   1833 15.99  24.0   0.8 31.65  0.10 7.93e+11   2.1 1853 1813
12   1873 16.71  23.6   0.7 32.22  0.09 7.36e+11   2.0 1894 1853
12   1915 17.45  23.1   0.7 32.71  0.08 6.86e+11   1.9 1935 1894
12   1957 18.23  22.6   0.7 33.11  0.08 6.43e+11   1.9 1978 1935
12   2000 19.04  22.2   0.7 33.40  0.07 6.06e+11   1.9 2022 1978
12   2044 19.89  21.7   0.6 33.58  0.07 5.74e+11   1.9 2066 2022
12   2089 20.78  21.2   0.6 33.64  0.07 5.47e+11   1.9 2112 2066
12   2135 21.71  20.7   0.6 33.56  0.06 5.25e+11   1.9 2159 2112
12   2182 22.68  20.2   0.6 33.34  0.06 5.07e+11   2.0 2206 2159
12   2231 23.69  19.8   0.6 32.97  0.06 4.93e+11   2.1 2255 2206
12   2280 24.74  19.3   0.6 32.44  0.06 4.84e+11   2.2 2305 2255
12   2330 25.85  18.7   0.6 31.74  0.06 4.79e+11   2.4 2355 2305
12   2381 27.00  18.2   0.6 30.88  0.06 4.79e+11   2.7 2407 2355
12   2434 28.21  17.7   0.6 29.84  0.06 4.84e+11   3.0 2460 2407
397296 23760
